"Dia ","Chengyu 成语","Pinyin","Traduccion Literal","Significado Figurativo","Equivalente en Venezolano","Categoria","Nivel de Dificultad","Caracteristicas","Frase de Ejemplo"
"Dia 36","如虎添翼","rú hǔ tiān yì","como tigre añadir alas","volverse aun mas poderoso","Como caimán en pozo","Aumento de Poder","HSK 7","Metafora animal concepto de potenciacion","有了新设备，工作效率如虎添翼。"
"Dia 37","依依不舍","yī yī bù shě","apegado no querer separarse","reluctancia a separarse","Pegado como chicle","Apego Emocional","HSK 8","Expresion emocional concepto de despedida","毕业时，同学们依依不舍地告别。"
"Dia 38","一切就绪","yī qiè jiù xù","todo preparado","todo listo","Todo listo como para el combate","Preparacion Completa","HSK 8","Concepto de organizacion total","会议准备工作一切就绪，可以开始了。"
"Dia 39","一门心思","yī mén xīn sī","una puerta pensamiento","concentrarse en una sola cosa","Como perro con hueso","Concentracion Total","HSK 8","Metafora arquitectonica concepto de enfoque","他一门心思想着赚钱，什么都不管。"
"Dia 40","死里逃生","sǐ lǐ táo shēng","de muerte escapar vida","escapar de la muerte","Se salvo por un pelo","Supervivencia Extrema","HSK 8","Concepto de resurrection escape milagroso","在那次事故中，他死里逃生，非常幸运。"
"Dia 41","废寝忘食","fèi qǐn wàng shí","abandonar dormir olvidar comer","dedicacion extrema","El que persevera, vence","Dedicacion Extrema","HSK 7","Concepto de compromiso total con actividad","为了完成这个项目，他废寝忘食地工作。"
"Dia 42","举目无亲","jǔ mù wú qīn","alzar ojos sin parientes","estar solo en tierra extraña","Como pez fuera del agua","Soledad en Exilio","HSK 7","Concepto de aislamiento social geografico","初到异国，他举目无亲，感到很孤独。"
"Dia 43","不三不四","bù sān bù sì","no tres no cuatro","impropio o indecente","Ni chicha ni limonada","Impropiedad Moral","HSK 7","Estructura numerica critica de comportamiento","这个人不三不四，最好别和他来往。"
"Dia 44","一五一十","yī wǔ yī shí","uno cinco uno diez","contar todo detalladamente","Sin dejar cabo suelto","Relato Completo","HSK 7","Estructura numerica concepto de exhaustividad","请你一五一十地把事情经过告诉我。"
"Dia 45","藏龙卧虎","cáng lóng wò hǔ","oculto dragon acostado tigre","talentos ocultos","Aguas quietas, corrientes profundas","Talento Oculto","HSK 8","Metafora mitologica concepto de potencial","这个公司藏龙卧虎，有很多优秀人才。"
"Dia 46","长话短说","cháng huà duǎn shuō","larga charla corta decir","resumir una historia larga parecido al long story short en ingles","Para no hacer el cuento largo","Concision Narrativa","HSK 7","Concepto de eficiencia comunicativa","时间不多，我就长话短说吧。"
"Dia 47","说来话长","shuō lái huà cháng","decir venir palabra larga","es una larga historia","Es una novela","Complejidad Narrativa","HSK 7","Concepto de elaboracion necesaria","这件事说来话长，我慢慢告诉你。"
"Dia 48","潜移默化","qián yí mò huà","gradual cambio silencioso transformacion","influencia sutil","Gota que horada la piedra","Influencia Gradual","HSK 8","Concepto de transformacion imperceptible","父母的行为对孩子产生潜移默化的影响。"
"Dia 49","丢三落四","diū sān là sì","Dejar caer tres, olvidar cuatro","Ser olvidadizo, despistado o descuidado","Tener la cabeza como un colador","Crítica de comportamiento personal","HSK 6 (Oficial)","Concepto de ser olvidadizo ","他总是丢三落四，经常忘记带东西。"
"Dia 50","胡思乱想","hú sī luàn xiǎng","desordenado pensar confuso imaginar","pensar sin sentido","Estar en las nubes","Pensamiento Desordenado","HSK 7","Critica de pensamiento irracional","别胡思乱想了，专心学习吧。"
"","","","","","","","","",""
"","","","","","","","","",""
